"main_oct1" "main_oct2" "main_oct3" "main_oct4" "main_oct5" "main_oct6" "main_oct7" "novel_oct1" "novel_oct2" "novel_oct3" "novel_oct4" "novel_oct5" "novel_oct6"
"in" 2.23812144560631 1.67865707434053 1.629238221048 1.40845070422535 1.62052667116813 1.09814687714482 1.45631067961165 1.06604866743917 1.60427807486631 1.30861504907306 1.32315521628499 1.14406779661017 1.29516019086571
"it" 1.21078701155751 1.3189448441247 1.80537208278291 1.57415078707539 1.58676569885213 1.30404941660947 0.849514563106796 1.41367323290846 0.962566844919786 1.58124318429662 1.01781170483461 0.932203389830508 1.70415814587594
"her" 0.898917629792699 1.79856115107914 1.9374724790841 3.56255178127589 2.5151924375422 2.33356211393274 2.79126213592233 0.18539976825029 0.106951871657754 1.85387131952017 0.458015267175573 0.233050847457627 0.852079072937969
"had" 0.825536598789213 1.3189448441247 1.45310435931308 0.911350455675228 0.962187711006077 1.37268359643102 1.57766990291262 0.764774044032445 0.819964349376114 1.09051254089422 0.508905852417303 0.444915254237288 0.783912747102931
"that" 1.04567969179967 0.239808153477218 1.10083663584324 1.32560066280033 1.02970965563808 1.09814687714482 0.485436893203884 0.509849362688297 0.677361853832442 0.517993456924755 0.916030534351145 0.953389830508475 0.81799591002045
"s" 0.752155567785727 0.719424460431655 0.748568912373404 0.745650372825186 0.742741390952059 1.30404941660947 0.728155339805825 0.996523754345307 0.784313725490196 0.54525627044711 0.712468193384224 1.20762711864407 0.920245398773006
"as" 0.935608145294441 1.19904076738609 0.836635843240863 0.497100248550124 0.776502363268062 1.44131777625257 0.728155339805825 0.85747392815759 0.606060606060606 1.00872410032715 0.508905852417303 0.48728813559322 0.81799591002045
"d" 1.26582278481013 0.719424460431655 0.660501981505945 1.90555095277548 0.945307224848076 1.30404941660947 1.33495145631068 0.231749710312862 0.392156862745098 0.899672846237732 0.712468193384224 0.360169491525424 0.613496932515337
"said" 0.275178866263071 1.07913669064748 0.440334654337296 0.828500414250207 0.725860904794058 0.480439258750858 0.364077669902913 1.11239860950174 0.784313725490196 0.708833151581243 0.763358778625954 0.995762711864407 1.02249488752556
"on" 0.605393505778756 0.599520383693046 0.616468516072215 0.745650372825186 0.742741390952059 0.549073438572409 0.849514563106796 0.880648899188876 0.641711229946524 0.763358778625954 0.458015267175573 0.847457627118644 0.920245398773006
"with" 0.587048248027885 1.19904076738609 0.660501981505945 0.745650372825186 0.658338960162053 0.343170899107756 0.364077669902913 0.787949015063731 0.641711229946524 0.517993456924755 0.661577608142494 0.529661016949153 0.647580095432856
"at" 0.678774536782242 1.19904076738609 0.528401585204756 0.745650372825186 0.489534098582039 0.754975978037063 0.485436893203884 0.463499420625724 0.71301247771836 0.517993456924755 0.559796437659033 0.932203389830508 0.443081117927744
"him" 0.348559897266557 1.3189448441247 0.220167327168648 0.414250207125104 0.62457798784605 0.343170899107756 0.242718446601942 0.741599073001159 0.855614973262032 0.845147219193021 0.916030534351145 0.48728813559322 0.886162235855487
"for" 0.825536598789213 0.479616306954436 0.484368119771026 0.331400165700083 0.607697501688049 0.686341798215511 0.364077669902913 0.393974507531866 0.53475935828877 0.517993456924755 1.11959287531807 0.38135593220339 0.374914792092706
"you" 0.183452577508714 0.359712230215827 0.0880669308674593 0.414250207125104 0.557056043214045 0.411805078929307 0.121359223300971 0.556199304750869 0.499108734402852 0.517993456924755 0.966921119592875 1.16525423728814 0.681663258350375
"like" 0.513667217024399 0.479616306954436 0.220167327168648 0.248550124275062 0.303848750844024 0.480439258750858 0.364077669902913 0.6720741599073 0.641711229946524 0.408942202835333 0.458015267175573 0.550847457627119 0.647580095432856
"up" 0.440286186020914 0 0.484368119771026 0.414250207125104 0.540175557056043 0.411805078929307 1.09223300970874 0.48667439165701 0.427807486631016 0.218102508178844 0.356234096692112 0.699152542372881 0.340831629175187
"t" 0.275178866263071 0.839328537170264 0.264200792602378 0.579950289975145 0.506414584740041 0.754975978037063 0.121359223300971 0.370799536500579 0.213903743315508 0.572519083969466 0.356234096692112 0.38135593220339 0.613496932515337
